schema_version,alias,zenodo_filename,size_bytes,sha256,md5,source_mpp,level_count,level_dimensions,pixel_stream_count,pixel_sample_sha256,pixel_full_sha256,sanitization_profile
2,TumorQuantAI_LymphomaWSI_001,TumorQuantAI_LymphomaWSI_001.mds,457554944,1324111c144aa3af125199c158e4439a2e0a212b7efe10ce85e6328d8a9d3832,2140d49bc652b7a84455f82ebb91cf57,0.26178,9,"[[79872,33792],[39936,16896],[19968,8704],[10240,4608],[5120,2560],[2560,1536],[1536,1024],[1024,512],[512,512]]",13787,bb15989588d7f212b7f5e168a02ebad40b637c3475ec82c38a407bdceb0ac650,d108c907e99b2630bb3cc1026742876859a2f50cd1f5286147121f78f6735093,pixel-preserving-nonpixel-redaction-v2
2,TumorQuantAI_LymphomaWSI_002,TumorQuantAI_LymphomaWSI_002.mds,221639168,5dce433af7d3b9f4f90d69fd2de80af942b0f88a2e97971870988c57900b06e8,95678164a4c86de1d1625834490a356d,0.26178,8,"[[46592,40960],[23552,20480],[11776,10240],[6144,5120],[3072,2560],[1536,1536],[1024,1024],[512,512]]",9744,f4cbf5a2c60fa88fd04256774b8cfff5770372624707e86b56c105cd21d1fb9e,a7e6c4d55a3e6fa8e195f718f4c3ead89fdb7b9a37e076ae7fa0ed90f71654a0,pixel-preserving-nonpixel-redaction-v2
2,TumorQuantAI_LymphomaWSI_003,TumorQuantAI_LymphomaWSI_003.mds,1430042112,a8a14ef5e17995cd476235406ec32bf2c78dea9f51c3489be2245bb3773f0f27,8cb082bf231bdf569d6a9a2f8fdca982,0.26178,9,"[[95232,81408],[47616,40960],[24064,20480],[12288,10240],[6144,5120],[3072,2560],[1536,1536],[1024,1024],[512,512]]",39538,ea9f98ce47a09d91348ce2209cea8cb422c7a0cabc3587cf7a757e58f88a21fa,4d015955f9e486f35f809cfa16c93196aa0a014fbdcd71225d8b138141836655,pixel-preserving-nonpixel-redaction-v2
2,TumorQuantAI_LymphomaWSI_004,TumorQuantAI_LymphomaWSI_004.mds,1010582528,fb4d0cbdbf32142bb9ac6b68478b01b4af9e1d5272a7fb5a1cba3aef3b3efa7e,2a87881a1a038d8dd938fd16f9fe3342,0.26178,9,"[[75264,57856],[37888,29184],[18944,14336],[9728,7168],[5120,3584],[2560,2048],[1536,1024],[1024,512],[512,512]]",22230,ae5491dc474bae50614b5c2754bc810e10ea6fda8aa2879f8a7870df8602ce63,4cf57fa28a172bc03966108522887edc158e11b9942a4fa09faf88b8a0b8329d,pixel-preserving-nonpixel-redaction-v2
2,TumorQuantAI_LymphomaWSI_005,TumorQuantAI_LymphomaWSI_005.mds,357450752,7d631baface12513fea79c163b59a208486abe763e16366549cd476bf3521f09,4cd8a59d03140d5c3dbf7d54a32cb3b6,0.26178,9,"[[90624,59392],[45568,29696],[23040,14848],[11776,7680],[6144,4096],[3072,2048],[1536,1024],[1024,512],[512,512]]",27473,c42d6d8f0c9abe3cc434213977f982ee228b6851896162788e3cf2767728f390,a1f1a6243836e5ef1554778a0bc4279ffedc90aa4b4f5a1b5265ab682e4e1d1c,pixel-preserving-nonpixel-redaction-v2
2,TumorQuantAI_LymphomaWSI_006,TumorQuantAI_LymphomaWSI_006.mds,233276416,3b7c74df6fe05d149b4d565699426fa8a95e97ac84632c0a199e91d01c7b6dd5,88c012b6bb8a5bfac669112fd0e2007d,0.26178,9,"[[75264,26112],[37888,13312],[18944,6656],[9728,3584],[5120,2048],[2560,1024],[1536,512],[1024,512],[512,512]]",10091,f3173c789c31f3de960985025836ded42102089282d66876ffc33e8971f163f3,b88adb715ca2d39efed45c8b4223deb705da00261085168d39480dde0908b19f,pixel-preserving-nonpixel-redaction-v2
2,TumorQuantAI_LymphomaWSI_007,TumorQuantAI_LymphomaWSI_007.mds,1614447104,b098bb14fd4b500e61949f7e894f50a56fc1b13781619a790649cdac8e845110,50fcf9a4cc24c472372e89caa4bd3bc7,0.26178,9,"[[84480,87040],[42496,43520],[21504,22016],[10752,11264],[5632,5632],[3072,3072],[1536,1536],[1024,1024],[512,512]]",37544,b6f5c45c9de7ecec613ae3d4b5914cf22f617391cfd922df027cd9c478626780,96b4ea629e3e764d818c66307e9495c9b7591b2ae3cec2d57dc54cdbfa85d9db,pixel-preserving-nonpixel-redaction-v2
2,TumorQuantAI_LymphomaWSI_008,TumorQuantAI_LymphomaWSI_008.mds,1071362048,bb5748c74a3ecd137480127d65d7114c80609c6854c6c3ffb6a5e476b749b3da,d18505ce05e1ca933765da89561472cc,0.26178,9,"[[75264,72192],[37888,36352],[18944,18432],[9728,9216],[5120,4608],[2560,2560],[1536,1536],[1024,1024],[512,512]]",27784,4882dd64d5fc28678a3d907d5bf6fc3a8f16ba30bc3acd32006fdbfafa123c0e,dd560e2b89a2c8152b0066b0f6c2949c18cefbf51c80d82468cb05cf1678d8ef,pixel-preserving-nonpixel-redaction-v2
2,TumorQuantAI_LymphomaWSI_009,TumorQuantAI_LymphomaWSI_009.mds,1496969728,6cf46b0af8433f0766fcb5c42e61e5172fd43deb3120233341c71761ae289631,35470b67a5cd5ca12670ae6ed88f4f64,0.26178,9,"[[75264,94720],[37888,47616],[18944,24064],[9728,12288],[5120,6144],[2560,3072],[1536,1536],[1024,1024],[512,512]]",36436,a6083190480fabf81b3fb821235f9449031296adc119a4bae7a2f97741a869e1,863523ed8efe979e0b3988596f280077416e5dad7d440d810d61593c53db1f04,pixel-preserving-nonpixel-redaction-v2
2,TumorQuantAI_LymphomaWSI_011,TumorQuantAI_LymphomaWSI_011.mds,637876224,03bbaa076b6729d3d2eb549ae9b4539166cf8614c29363b32d6d08cca202e038,a169eb27aee71067fd5643baa13fb4de,0.26178,9,"[[81920,53760],[40960,27136],[20480,13824],[10240,7168],[5120,3584],[2560,2048],[1536,1024],[1024,512],[512,512]]",22499,985a606d2431e431e4e226347d1df159e096c07a62912b417f253053c8c09908,9e6e3981b25c34077234d8d99642805350dca21115aab5498f53d1d1af2ea86a,pixel-preserving-nonpixel-redaction-v2
